Marca comercial,Ingrediente activo,CT,Unidad
FOMESAFEN 25 SIGMA,FOMESAFEN EQUIVALENTE ACIDO,III,Lt
RIZODERMA TRIGO,TRICHODERMA HARZIANUM CEPA Th2,IV,ml/Lt
YPF GLIFOSATO CONCENTRADO HD,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
YPF ATRAZINA HG,ATRAZINA,IV,Lt
FLECHA,HALOXIFOP-P-METIL EQUIVALENTE ACIDO,II,Lt
COADYUVANTE TODO TERRENO ESPACIAL FACYT,ALCOHOL LAURICO ETOXILADO,IV,Lt
NICOSULFURON NOVA,NICOSULFURON,IV,Lt
AMOUNT,GLUFOSINATO DE AMONIO,III,Lt
GENESIS DUO,AZOXISTROBINA + CYPROCONAZOLE,III,Lt
CLETODIM JNG,CLETODIM,III,Lt
CLETODIM HUAGRO,CLETODIM,III,Lt
SILICONADO AKTIV,ALCOHOL LINEAL ETOXILADO,II,Lt
HALOXIGEN MAX,HALOXIFOP-P-METIL,II,Lt
"GLIAS 75,7 SG",GLIFOSATO EQUIVALENTE ACIDO,IV,Kg
"GLIAS 75,7 ",GLIFOSATO EQUIVALENTE ACIDO,IV,Kg
LASSO,LAMBDACIALOTRINA,II,Lt
OXISOL,OXICLORURO DE COBRE EQUIVALENTE COBRE METALICO,II,Kg
NUPROSPRAY SC,ALCOHOL GRASO ETOXILADO,IV,Lt
TIMEROLE 75 EXTRA,TIAMETOXAM,III,Kg
MAGNUM  ,GLIFOSATO EQUIVALENTE ACIDO,III,Lt
ASTAR WG,AZOXISTROBINA,III,Kg
DICAGOOD 48,DICAMBA EQUIVALENTE ACIDO,IV,Lt
DICAGOOD SL,DICAMBA EQUIVALENTE ACIDO,IV,Lt
THAIS 75 EXTRA,TIAMETOXAM,III,Kg
TIAMOTTO 75 EXTRA,TIAMETOXAM,III,Kg
MESOTRIONE 48 SC PROVENTIS,MESOTRIONE,III,Lt
LANFOR,AZOXISTROBINA + CYPROCONAZOLE,III,Lt
GUARDAZIM,CARBENDAZIM ,III,Lt
CARDAZIM,CARBENDAZIM ,III,Lt
METOLACLORO 96 SUMAGRO EC,METOLACLORO,III,Lt
NUFARM METOLACLOR,METOLACLORO,III,Lt
RIZO OIL M PLUS,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE VEGETAL,IV,Lt
CRONOS,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE VEGETAL,IV,Lt
RIZODERMA SOJA,TRICHODERMA HARZIANUM CEPA Th2,IV,ml/Lt
ASTAR 80 WG,AZOXISTROBINA,III,Kg
ULTIMATE,GLUFOSINATO DE AMONIO,III,Lt
LEXOREX,METRIBUZIN,II,Kg
"HALOXIFOP 12,5 CAMPO",HALOXIFOP-P-METIL ESTER,III,Lt
FIDEMAX BIFENTRIN 10,BIFENTRIN,II,Lt
CURASEM,CARBENDAZIM + TIRAM,III,Lt
CHANGUI,CLOPIRALID EQUIVALENTE ACIDO,III,Lt
GLIAS SG,GLIFOSATO EQUIVALENTE ACIDO,IV,Kg
TRENDING TOPIC PRO STICK,CLOROTALONIL,III,Lt
OILCO LB,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE VEGETAL,IV,Lt
ORIGEN,AZOXISTROBINA + CARBOXIN + METIL TIOFANATO + METALAXIL,IV,Lt
TROYA,PROFENOFOS + LAMBDACIALOTRINA,II,Lt
METIL OIL,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE DE SOJA,IV,Lt
OIL SP MAX,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE DE SOJA,IV,Lt
DABOIL MET,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE DE SOJA,IV,Lt
KOGUT,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE DE SOJA,IV,Lt
ADAMA GUAPO ULTRA,EPOXICONAZOLE + AZOXISTROBIN,III,Lt
CORVEMAX,ALCOHOLES GRASOS ETOXILADOS,III,Lt
PARADISE FIT,AZOXISTROBINA + CYPROCONAZOLE,II,Lt
DICANFA 58,DICAMBA EQUIVALENTE ACIDO,II,Lt
GREEN DICAMBA,DICAMBA EQUIVALENTE ACIDO,III,Lt
GREEN CLORPIRIFOS 48,CLORPIRIFOS,II,Lt
GREEN WET,ALCOHOL GRASO ETOXILADO,IV,Lt
PERICON MIX,IMIDACLOPRID + TEBUCONAZOLE,III,Lt
"ASP 2,4-DB XTRA","2,4-DB EQUIVALENTE ACIDO",II,Lt
EUDOR R,CLETODIM,III,Lt
COADYUVANTE ESPACIAL SILICONADO FACYT,ALCOHOL LAURICO ETOXILADO,IV,Lt
ABRIDOR PLUS,DIURON + TIDIAZURON,IV,Lt
TAMARIN,BIFENTRIN,II,Lt
MERLIN TOTAL,INDAZIFLAM + ISOXAFLUTOLE,II,Lt
ERRASIN WP,METSULFURON METIL,III,Gr
OIL MEN,ACEITE DE SOJA,IV,Cm3/Lt
TANALITH 60 % CCA-C,ARSENIATO DE COBRE CROMATADO,Ia,Kg
ADOC,FOMESAFEN EQUIVALENTE ACIDO,III,Lt
NUFARM CREDIT HL,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
POLARIS ACCELERATE,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
MARCH II SL,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
GREEN OIL ,ACEITE DE SOJA,IV,Lt
AGROLUFEN 5 EC,LUFENURON,IV,Lt
IMAZETAPIR MAX SIGMA,IMAZETAPIR,III,Kg
TECNOQUAT PLUD,PARAQUAT DICLORURO + DIURON,II,Lt
AGROZINA 90 WDG,ATRAZINA,III,Kg
LOMBOK,AZOXISTROBINA + CYPROCONAZOLE,III,Cm3/Lt
DICAMBA CONTROLER,DICAMBA EQUIVALENTE ACIDO,III,Lt
FLUROXIPIR 20 NUFARM,FLUROXIPIR MEPTIL EQUIVALENTE ACIDO,III,Lt
MIRAVIS DUO,DIFENOCONAZOLE + PYDIFLUMETOFEN,III,Lt
DARDO,D.D.V.P.,Ib,Lt
ACETONOR,ACETOCLOR,II,Lt
PRADO EXTRA,"AMINOPYRALID EQUIVALENTE ACIDO + 2,4-D EQUIVALENTE ACIDO",II,Lt
CLETHODIM 24 EC PROVENTIS,CLETODIM,III,Lt
TOPRID PLUS,IMIDACLOPRID,II,Kg
PENDIPA,PENDIMETALIN,III,Lt
SILVZOLE PLUS,TEBUCONAZOLE,III,Kg
GLIFOSATO ATANOR II B,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
GLIFOSATO ATANOR II C,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
GLIFOSATO ATANOR II A,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
START UP IMIGO PLUS,IMIDACLOPRID + TEBUCONAZOLE,III,Lt
YAPU 90 WG ATRAZINA,ATRAZINA,III,Kg
PRODINOLEO METILADO,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE VEGETAL,IV,Lt
CIALOTRIN 5,LAMBDACIALOTRINA,III,Lt
PIRATE,CLORFENAPIR,II,Lt
WEEDFIRE,FLUROXIPIR MEPTIL EQUIVALENTE ACIDO,III,Lt
YPF GLIFOSATO CONCENTRADO HL,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
PICLORAM ASTRO,PICLORAM EQUIVALENTE ACIDO,III,Lt
WIPE OVER,GLIFOSATO EQUIVALENTE ACIDO,IV,Kg
STOLLER TICARB,CARBENDAZIM + TIRAM,III,ml/Lt
EXCEMINE ,"2,4-D EQUIVALENTE ACIDO",II,Lt
APUNTE,FLUROXIPIR MEPTIL EQUIVALENTE ACIDO,III,Lt
GARFIO,PICLORAM EQUIVALENTE ACIDO,IV,Lt
DIZE,PICLORAM EQUIVALENTE ACIDO,IV,Lt
CONTROLE 77 SG,DICAMBA EQUIVALENTE ACIDO,IV,Kg
WRAP UP,ACEITE MINERAL,IV,Lt
CLEANIL XTRA,CLOROTALONIL,III,Kg
CUMPLIDOR,SULFENTRAZONE + METRIBUZIN,III,Kg
LICPORA,PICLORAM ,IV,Lt
TORCHMULTI,PICLORAM,IV,Lt
COMPRE LV,"2,4-D EQUIVALENTE ACIDO",III,Lt
AUXILIAR LV,"2,4-D EQUIVALENTE ACIDO",III,Lt
TOPRID  ,IMIDACLOPRID,II,Lt
FLUROCLORIDONA 25,FLUROCLORIDONA,II,Lt
PARAQUAT SL,PARAQUAT DICLORURO EQUIVALENTE PARAQUAT,II,Lt
ACETOCLOR ATANOR B,ACETOCLOR,III,Lt
"FIREBALL 27,6",PARAQUAT DICLORURO EQUIVALENTE PARAQUAT,II,Lt
ACETOCLOR ATANOR A,ACETOCLOR,III,Lt
GALGOQUAT,PARAQUAT DICLORURO EQUIVALENTE PARAQUAT,III,Lt
FILANDER,"2,4-DB EQUIVALENTE ACIDO",II,Lt
"BUTOXONE  93,1","2,4-DB EQUIVALENTE ACIDO",II,Lt
BUTOXONE  EC,"2,4-DB EQUIVALENTE ACIDO",II,Lt
"ANGIRU 43,8",GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
"GLIFOSATO ARATIRI 43,8",GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
ATRAZINA LEMBU,ATRAZINA,IV,Lt
ATRAZINA ARATIRI ,ATRAZINA,IV,Lt
ATRAZINA ANGIRU,ATRAZINA,IV,Lt
IMAZETAPIR ANGIRU,IMAZETAPIR EQUIVALENTE ACIDO,IV,Lt
IMAZETAPIR ARATIRI,IMAZETAPIR EQUIVALENTE ACIDO,IV,Lt
FIPRONIL 20 RAINBOW,FIPRONIL,II,Lt
GLYNOMYL DD,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
GLYNOMYL CC,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
GLYNOMYL BB,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
STRIX SC,AZOXISTROBINA + CYPROCONAZOLE,III,Lt
PICLORAM 24  ,PICLORAM,IV,Lt
CARBENDAZIM KUERA,CARBENDAZIM,IV,Lt
PUZATE,IMAZETAPIR,IV,Kg
AGUARA,AZOXISTROBINA + DIFENOCONAZOLE,IV,Lt
"ALLISTER 2,4D","2,4-D EQUIVALENTE ACIDO",II,Lt
PICLORAM 24 SL   ,PICLORAM,IV,Lt
GUAZUNCHO PLUS,IMIDACLOPRID + LAMBDACIALOTRINA + BIFENTRIN,II,Lt
KAMPAI,FIPRONIL,II,Gr
NUPRID STAR,IMIDACLOPRID + TIODICARB,II,Lt
PROMETEO,FENOXAPROP-P-ETIL ,III,Lt
FENOXADE,FENOXAPROP-P-ETIL ,III,Lt
RIZOSPRAY INTRGRUM,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE VEGETAL,IV,Lt
SPORANE,AZOXISTROBINA + CYPROCONAZOLE,II,Lt
GLIFOSATO FULL SIGMA,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
PARAQUAT SIGMA,PARAQUAT DICLORURO EQUIVALENTE PARAQUAT,III,Lt
GENESIS,AZOXISTROBINA,III,Lt
TIMEROL PLUS,TIAMETOXAM + LAMBDACIALOTRINA,II,Lt
CLETODIM FORMULAGRO,CLETODIM,III,Lt
METSULFURON 60 SIGMA,METSULFURON METIL,III,Kg
SERCOR ECO PLUS,ALCOHOL LAURICO ETOXILADO,IV,Cm3/Lt
CELEBRATE,CLETODIM + QUIZALOFOP-P-ETIL,III,Lt
CORRECTOR DE PH AKTIV,ACIDO FOSFORICO,III,Lt
CLEANIDIM FULL,CLETODIM,III,Lt
"2,4 DB ACTION","2,4-DB EQUIVALENTE ACIDO",II,Lt
ACTIVE SELECTO I,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE DE SOJA,IV,Lt
MULCHEN CHACRA,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE VEGETAL,III,Lt
MULCHEN FAST,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE VEGETAL,III,Lt
EQUS L,TIAMETOXAM + LAMBDACIALOTRINA,II,Cm3/Lt
GLIF FULL,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
NICOSULFURON AGROS,NICOSULFURON,IV,Gr/Kg
HELIANTHUS SIGMA,IMAZAPIR,IV,Gr/Kg
AZONIMBUS,AZOXISTROBINA + CYPROCONAZOLE,III,Lt
SKYSTAR,AZOXISTROBINA + CYPROCONAZOLE,III,Lt
NUFARM HAVOC,CLETODIM,III,Lt
EMZEB 75 WG,MANCOZEB,III,Kg
GLIFOSATO SUMAGRO PLUS,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
BREAK THRU NDO MAX,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE VEGETAL,IV,Lt
SERBAC ECO PLUS,ALCOHOL LAURICO ETOXILADO,IV,Cm3/Lt
ARACHIS MAX SIGMA,IMAZAPIC ,IV,Gr/Kg
FACYT AT,AZOXISTROBINA + TIRAM,III,Lt
LAMBDA 5 GC,LAMBDACIALOTRINA,III,Lt
RIDOF WG,DICLOSULAM,III,Gr/Kg
MERCANTOR,METOLACLORO,III,Lt
CARBENDAZIM ANGIRU,CARBENDAZIM,IV,Lt
VAKERO WG,DICLOSULAM,III,Gr/Kg
CEOMAX 84 WDG,DICLOSULAM,III,Gr/Kg
DUENDE,DICLOSULAM,III,Gr/Kg
NUFARM KONYZ,DICLOSULAM,III,Gr/Kg
GREEN DICLOSULAM 84 WG,DICLOSULAM,III,Gr/Kg
DICROSS 84,DICLOSULAM,III,Gr/Kg
DICROSS ,DICLOSULAM,III,Gr/Kg
HERO EC,BIFENTRIN + ZETACIPERMETRINA,II,Lt
METOLACLOR BIESTERFELD,METOLACLORO,II,Lt
RIZOSPRAY EXTREMO MINERAL,ACEITE MINERAL,IV,Lt
PERSEO,SULFENTRAZONE + IMAZETAPIR,IV,Lt
AGROSTAR  25 SC,AZOXISTROBINA ,III,Lt
AGROZEB 80 WP,MANCOZEB,III,Kg
"AGROMECTINA 1,8 EC",ABAMECTINA,II,Lt
RELAMPAGO,GLIFOSATO EQUIVALENTE ACIDO,III,Kg
D-ESTER,"2,4-D EQUIVALENTE ACIDO",II,Lt
HERBIFEN EH A,"2,4-D EQUIVALENTE ACIDO",II,Kg
TRAZONE,SULFENTRAZONE,III,Lt
LORD 36 EC,CLETODIM,III,Lt
MIDGET,CLOROTALONIL + AZOXISTROBINA + DIFENOCONAZOLE,IV,Lt
PROTEXIA FS,METALAXIL,II,Lt
"GLIFOSATO LEMBU 66,2",GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
"GLIFOSATO ARATIRI 66,2",GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
"GLIFOSATO ANGIRU 66,2",GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
PAXEO,DICLOSULAM + HALAUXIFEN METIL,IV,Gr/Kg
"SOLVER PRO 75,7 SG",GLIFOSATO EQUIVALENTE ACIDO,IV,Kg
ACONA,ACETOCLOR,II,Lt
WIPER ,CLOROTALONIL,III,Lt
DICAVEL,DICAMBA,IV,Lt
RAZONE,SULFENTRAZONE,III,Kg
RAZONE WG,SULFENTRAZONE,III,Kg
SULFENTRAZONE ZAMBA,SULFENTRAZONE,III,Lt
GREEN SULFENTRAZONE 50,SULFENTRAZONE,III,Lt
CLEANIL  ,CLOROTALONIL,III,Lt
CATCH,IMAZAPIC EQUIVALENTE ACIDO,IV,Lt
KAISER FULL,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
RESGUARD PLUS,ALFACIPERMETRINA,II,Lt
FIDEPLUS IMIDA + TEBUCO,TEBUCONAZOLE + IMIDACLOPRID,III,Lt
HELPER,FLUROXIPIR MEPTIL EQUIVALENTE ACIDO,III,Lt
PETRA,LAMBDACIALOTRINA,II,Lt
VOLGA,GLIFOSATO EQUIVALENTE ACIDO,III,Kg
TALANTE,TIAMETOXAM,III,Gr/Kg
"AMINA 86,7 FULL GC","2,4-D EQUIVALENTE ACIDO",II,Lt
"2,4 D ESTER 97","2,4-D",II,Lt
KYLIAN EC,CLETODIM,III,Lt
CARTAZ 50 SC,SULFENTRAZONE,III,Lt
CODIGO,TIAMETOXAM,III,Lt
COUGAR,AZOXISTROBINA + CIPROCONAZOLE,III,Lt
SUNFEEL,SULFENTRAZONE,III,Lt
MILENIAL SC,SULFENTRAZONE,III,Lt
"FIDEMAX ABAMECTINA 1,8",ABAMECTINA,II,Lt
WEEDFIRE 48 XTRA,FLUROXIPIR MEPTIL,III,Lt
MORTAL BV,"2,4-D",II,Lt
KONDOR 20 OD,IMIDACLOPRID,III,Lt
AZZIX,CLETODIM,III,Lt
ACEITE METILADO MARKETING,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE DE SOJA,IV,Lt
OBY,DICAMBA,II,Lt
CAMPEADOR,DODECIL BENCENO SULFONATO DE TRIETANOLAMINA Y SODIO,III,Lt
AGROSTAR 50 WDG,AZOXISTROBINA,III,Kg
CORSAIR,IMAZAPIC + IMAZAPIR ,III,Lt
ALUMINE SURCOS,FOSETIL ALUMINIO,III,Lt
CLETODIM ARN EBC,CLETODIM,III,Lt
CILAMBDA AGROS,LAMBDACIALOTRINA,II,Lt
RIMBA 77 SG,DICAMBA,II,Kg
RESOLUTOR,CLETODIM,III,Lt
POTRERO ULTRA,"2,4-D",II,Kg
BAKER,AZOXISTROBINA + CYPROCONAZOLE ,III,Kg
ADELFOS,SULFENTRAZONE,II,Lt
REDOMON,FLUAZINAM,IV,Lt
GLIFOSATO POTASICO KEMSURE,GLIFOSATO,IV,Lt
SILICONADO ARN EBC,HEPTAMETIL TRISILOXANO,III,Lt
YPF COA SILICONA 100,HEPTAMETIL TRISILOXANO,III,Lt
PARAKEET,PARAQUAT DICLORURO,III,Lt
VIGORANE ,FLUROXIPIR MEPTIL,III,Lt
WEED SHOT,FLUROXIPIR MEPTIL,III,Lt
SYMPHONY,S-METOLACLORO,II,Lt
S-METOLACLOR 96 AGROFINA,S-METOLACLORO,II,Lt
YPF CLORPIRIFOS IG,CLORPIRIFOS,II,Lt
FOMESAFEN 25 SL PROVENTIS,FOMESAFEN,III,Lt
TREGUA,DIFENOCONAZOLE + METALAXIL + IPRODIONE + IMIDACLOPRID,IV,Lt
NUFARM COMPACT MAXX,LUFENURON + PROFENOFOS,II,Lt
HERBIFEN AMINA A,"2,4-D EQUIVALENTE ACIDO",II,Lt
CYHALOMYL,CYHALOFOP BUTIL,IV,Lt
QUINTA ACCION,EDTA TETRASODICO,IV,Lt
"BULLFIGHT 75,7 SG",GLIFOSATO,IV,Kg
RIMBA SG,DICAMBA,II,Kg
NUFARM FOLICAP,FOMESAFEN,III,Lt
FOMEHERB,FOMESAFEN,III,Lt
SIN PLAG FORMULA EXTRA,CLORPIRIFOS,II,Cm3/Lt
FOMEHERB 25 SL,FOMESAFEN,III,Lt
FOMEHERB SL,FOMESAFEN,III,Lt
FOESA SL,FOMESAFEN,III,Lt
LENA,PARAQUAT DICLORURO,III,Lt
YPF DICAMBA HA,DICAMBA,III,Lt
CAMPO-DIFEN 25 EC,DIFENOCONAZOLE,III,Lt
SUPREMACY,SULFENTRAZONE,IV,Lt
METOLACLORO FORMULAGRO,METOLACLORO,III,Lt
S-METOLACHLOR 96 EC PROVENTIS,S-METOLACLORO,III,Lt
KONAN 50 SC,IPRODIONE,III,Lt
TEBUCONAZOLE KUERA,TEBUCONAZOLE,IV,Lt
HELMSTAR PLUS,TEBUCONAZOLE + AZOXISTROBINA,II,Lt
FIDEPLUS AZOXI -TEBUCO,TEBUCONAZOLE + AZOXISTROBINA,III,Lt
VERTIZ 25,CLORPIRIFOS,IV,Lt
DMDS,DIMETIL DISULFURO,II,Lt
VIBRANCE MAXX,FLUDIOXONIL + METALAXIL-M + SEDAXANE,III,Lt
SOWER ULTRAMAX,DINICONAZOLE + METIL TIOFANATO,IV,Lt
FURAFARM 10 G,CARBOFURAN,II,Kg
XTREME POWER MS,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE DE SOJA,IV,Lt
"VENDAVAL 2,4D ESTER 97","2,4-D EQUIVALENTE ACIDO",III,Lt
PRO D 89 ESTER,"2,4-D EQUIVALENTE ACIDO",III,Lt
KAISER FULL II,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
MALATHION DELENTE,MERCAPTOTION,II,Lt
OMIKRON,IMIDACLOPRID + LAMBDACIALOTRINA + LUFENURON + BIFENTRIN + ABAMECTINA,II,Cm3/Lt
SINOQUAT,PARAQUAT DICLORURO,II,Lt
AGROCAMBA 48 SL,DICAMBA EQUIVALENTE ACIDO,II,Lt
TRIBU 48 SC,METRIBUZIN,II,Lt
EMERALD EXCELL,AZOXISTROBINA + TETRACONAZOLE,II,Lt
LOGGOX,CARFENTRAZONE ETIL,III,Lt
REVUS TOP,DIFENOCONAZOLE + MANDIPROPAMID,III,Lt
CAMUFLAGE 70 WG,METRIBUZIN,III,Kg
METRIBUZIN 70 WG,METRIBUZIN,III,Kg
FIDEPLUS AZOXI -CYPRO,AZOXISTROBINA + CYPROCONAZOLE,II,Lt
QUATERNION,PARAQUAT DICLORURO,III,Lt
CAPAZ ELITE,SULFENTRAZONE + S-METOLACLORO,III,Lt
HUMVEE,ABAMECTINA,Ib,Lt
DINAMIC 70 WDG,AMICARBAZONE,III,Kg
SATELLITE,PENDIMETALIN,IV,Lt
CRIPTON XPRO,BIXAFEN + PROTIOCONAZOLE + TRIFLOXISTROBIN,III,Lt
YAMATO,PIROXASULFONE,III,Kg
RONFOS,LUFENURON + PROFENOFOS,II,Lt
NUFARM HAVOC MAXX,CLETODIM,III,Lt
NAFUSAKU 16 LIQUIDO,ALFA NAFTALEN ACETATO DE SODIO ,IV,ml/Lt
SPRAY SOL XTRA,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE DE SOJA,IV,Lt
FRUCTO,AZOXISTROBINA + CYPROCONAZOLE,III,Lt
LANFOR PRO SC,AZOXISTROBINA + CYPROCONAZOLE,III,Lt
CLEVERDIM,CLETODIM,III,Lt
CHLODIM 36 EC,CLETODIM,III,Lt
CONFIDIM 36 EC,CLETODIM,III,Lt
TROPC 5,ACIDO FOSFORICO,III,Lt
GOAL,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE VEGETAL + AMINA GRASA ETOXILADA,III,Lt
ACEITE ROCIO,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE DE SOJA,IV,Lt
KASUMIN 10,KASUGAMICINA,IV,Lt
SANCHO,ACETOCLOR,III,Lt
GAN X,NONIL FENOL ETOXILADO,III,Lt
METALADAB,METALAXIL,II,Lt
TORNADO,"2,4-D EQUIVALENTE ACIDO",II,Lt
"2,4-D LV","2,4-D EQUIVALENTE ACIDO",II,Lt
YPF METOLACLORO HC,METOLACLORO,III,Lt
DARREN,FLUMIOXAZIN,IV,Lt
ADELFOS PLUS,SULFENTRAZONE + CLORIMURON ETIL,II,Kg
FIDEPLUS MSO SILICONADO,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE VEGETAL,IV,Lt
IMIDACLOPRID LEMBU,IMIDACLOPRID,II,Lt
SULFENTRAZONE ANGIRU,SULFENTRAZONE,IV,Lt
HERBIFEN EH B,"2,4-D EQUIVALENTE ACIDO",II,Lt
AGROFORCE 20 SC,FIPRONIL,III,Lt
ZYNION 24 EC,CLETODIM,III,Lt
METRIBUZIN 48 AGM,METRIBUZIN,II,Lt
BIOULTIMATE MAGNA PLUS,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE VEGETAL,IV,Lt
PRISMA ULTRA,AZOXISTROBINA + DIFENOCONAZOLE,II,Lt
HELIOS,GLUFOSINATO DE AMONIO,IV,Lt
CLORPIRIFOS LEMBU,CLORPIRIFOS,II,Lt
RODAZIM 50,CARBENDAZIM,IV,Lt
PAPIR MAX,IMAZETAPIR EQUIVALENTE ACIDO,IV,Lt
EMERGE,AZOXISTROBINA + CIPROCONAZOLE,III,Lt
YPF 24D ETHEX ESTER HC,"2,4-D EQUIVALENTE ACIDO",II,Lt
DINAMITA ,DIMETOATO,II,Lt
GAN X DRIVER,NONIL FENOL ETOXILADO,III,Lt
SIMUN M,ACEITE DE SOJA,III,Lt
CLETODIM ACTION,CLETODIM,III,Lt
ALSURON,TIDIAZURON,III,Kg
ELOTA,HALOXIFOP-P-METIL,II,Kg
PROTON 25 SL,FOMESAFEN EQUIVALENTE ACIDO,IV,Lt
SHARPER,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE VEGETAL,IV,Lt
PERFION,AZOXISTROBINA + CARBOXIN + FLUDIOXONIL + METALAXIL ,IV,Lt
SENDERO,AMINOPYRALID EQUIV. ACIDO + CLOPIRALID EQUIV.ACIDO,IV,Lt
COTTON STOP PLUS,CLOROMECUATO,II,Lt
FACYT TC+M,CARBENDAZIM + TIRAM + METALAXIL,III,Lt
FRENO GOLD,CLETODIM,III,Lt
CLEARLAND,PICLORAM EQUIVALENTE ACIDO,III,Lt
ASTRIS GOLD,LAMBDACIALOTRINA + LUFENURON,II,Lt
NYAMBI,FLUMIOXAZIN,IV,Lt
CUSTODIO,BACILLUS SUBTILIS,IV,Lt
DASH MSO MAX,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE VEGETAL,IV,Lt
CYD-X,CYDIA POMONELLA GRANULOSIS VIRUS,IV,Lt
GEMMIT FLO,FLUMIOXAZIN,IV,Lt
"GLIFOSATO 66,2 KEMSURE",GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
YPF GLIFOSATO CONCENTRADO HC,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
"BAUNDAP 66,2",GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
CENTAURO 36 EC,CLETODIM,III,Lt
KOSAKO 36 EC,CLETODIM,III,Lt
TALONIL,CLOROTALONIL,III,Lt
BOUNDARY,S-METOLACLORO + METRIBUZIN,III,Lt
QUINTAL XTRA,METOXIFENOCIDE + SPINETORAM,IV,Lt
RHYN,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE DE SOJA,IV,Lt
SLAYER 50 SC STK,CLOROTALONIL,III,Lt
ZETA STK,CLOROTALONIL,III,Lt
PRESERVER 75 WG,TEBUCONAZOLE,II,Kg
CLARTEX X-TRA,ACETAMIPRID,IV,Kg
"PILARSATO 75,7 SG",GLIFOSATO EQUIVALENTE ACIDO,III,Kg
CORRECTOR SECUESTRANTE AKTIV,ACIDO FOSFORICO,III,Lt
SULFENTRAZONE 50 SC PROVENTIS,SULFENTRAZONE,III,Lt
PATNA,PROFENOFOS + LUFENURON,II,Lt
AGROMIDA 70 WDG,IMIDACLOPRID,II,Kg
DUBLE,IMIDACLOPRID + TEBUCONAZOLE,II,Lt
SUNGAIN XTRA ,FLUMIOXAZIN,IV,Lt
TRANSFORM,SULFOXAFLOR,IV,Lt
GLIFOSATO POWER LARTI II,GLIFOSATO EQUIVALENTE ACIDO,IV,Lt
TWINS,TIAMETOXAM + LAMBDACIALOTRINA,II,Lt
SULGRAN,AZUFRE,III,Kg
MAGNO,IMIDACLOPRID,II,Lt
STIMULATE MANI,KINETINA + ACIDO GIBERELICO + ACIDO INDOL 3 BUTIRICO,IV,Lt
AGROBIFEN 10 EC,BIFENTRIN ,II,Lt
BENZOMIL EMA,BENZOATO DE EMAMECTINA,II,Lt
ADAMA ESSENTIALS LAMDEX EC,LAMBDACIALOTRINA,II,Lt
HACKER,TIAMETOXAM + LAMBDACIALOTRINA,III,Lt
J.O MAX TOTAL V,EDTA TETRASODICO,IV,Lt
DIFENOCONAZOLE KUERA,DIFENOCONAZOLE,IV,Lt
SYRMA XTRA,AZOXISTROBINA + CIPROCONAZOLE,II,Lt
INTRISIC,FLUMIOXAZIN + CLORIMURON ETIL,III,Gr/Kg
"GRANERO 2,4-D AMINA ","2,4-D EQUIVALENTE ACIDO",II,Lt
